Nama Dosen;Program Studi;Kepakaran;URL Profil
Hediyati Anisia Br Sinamo, S.P.W.K., M.P.W.K.;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJhqaq%2BZbGWUk4R5gZOUlmyXaZNkZK%2Bjr8Fla2htaJRjaa90rg%3D%3D
Verlina Agustine, S.P.W.K., M.P.W.K.;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJhqa69ml2ZnZoF2r8STY5dkaZNhY39xhcSTlWiYmmmSlIBxgQ%3D%3D
Fachri Muhammad Rasyid, S.P.W.K., M.URP.;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfY9hZq%2BYmWhpaX2ngZBnlGdqlmVlmH96spiSaJhqaWZhZK%2BlhQ%3D%3D
Valendya Rilansari, S.P.W.K., M.P.W.K.;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfY9iY69maZaSlYJxsJCVZmSVl5Nlk7KjgcOUamVmm2NmZH93fw%3D%3D
Dr. Eng. Ir. IB Ilham Malik, ST., MT.;Perencanaan Wilayah dan Kota;Transportation Planning, Strategic Regional Planning, City and Regional Infrastructure.;https://directory.itera.ac.id/researcher/id/gpKIfY9qaq%2BVZ5OXZa6kgMKTlWaWmpRqlbB3spFjZ2lrbmWTk7F6rQ%3D%3D
Muh. Abdi Danurja Rahman Aziz, S.T., M.R.K.;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZFiaq%2BVmGNiaoRygZdmaJdom2JoZ7GigJZplpmWbZJoZ7KihA%3D%3D
Ryansyah Izhar, S.T., M.P.W.K;Perencanaan Wilayah dan Kota;;https://directory.itera.ac.id/researcher/id/gpKIfZFia6%2BYlmphYn6ksZBjY2NlbWOUlK9xsMRkmGlka5ZnmK92fQ%3D%3D
Muhammad Abdul Mubdi Bindar, S.T., M.T.;Perencanaan Wilayah dan Kota;;https://directory.itera.ac.id/researcher/id/gpKIfZFjYq9naGFjZ4J0so9qlJeZaWZllINxfcKTY2VolpNll4GmrQ%3D%3D
Dian Prasetyaning Sukmawati, S.T., M.T.;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZJiZ6%2BZZmKXa4J2rpZkaGdnbGOVYoCmssWTZWZtlmWTY7N6fg%3D%3D
Dr. Asnani, S. Sos., M.A.;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZJqZq9mmGiXmH93gZFkl5lkmWaUmLCigMNlk5VkmWaVa4anfw%3D%3D
Jamaludin, S.T., M.Sc.;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZNhaK9rm5dqlbB5fpVnZWVsl5dlabN0f5aVmJSammmSZ4ajsA%3D%3D
Ir. Harkunti Pertiwi Rahayu, Ph.D.;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZNnaK9naZVjYrB3gsJkmGNpZ2mWmK%2BkfZJkaJdpbJeUk4NyfQ%3D%3D
Ibnu Syabri, B.Sc., M.Sc., Ph.D.;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZNnaa9mlmZilX50ssNhlGZtZ2eXaX90r5dlY5iXZ2STaLN2rw%3D%3D
Vivian Alvianti, S.P.W.K., M.P.W.K.;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZNoaK%2BYl2VqaLGifpBmlpaVlpZnY7GiscGSl2lkmWhlloWmfQ%3D%3D
Riyad Maulana, S.P.W.K., M.R.K;Perencanaan Wilayah dan Kota;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZNoaa9tm5SVk7CkfI9oZ5doa2Fha7Omr5dpmGpol5JmaIJxrQ%3D%3D
Ir. Arif Rohman, S.T., M.T.;Teknik Geomatika;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfI9jZa%2BYZ2lqarOkrcNjlWxlaJNhZYWnhI%2BWZmZoa2lqaH94rQ%3D%3D
Agung Pandi Nugroho, S.T., M.T.;Teknik Geomatika;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfI9pZ69pa5SXZbOir5OXZ2NrbmOXaLF1hJNiZ2Rkm5Rnk4Nxfg%3D%3D
Tika Widayanti, S.Si., M.Si;Teknik Geomatika;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfI9paq9pa5eVZIOjf8STaJiWlpNnk66mf8GUk2VsaWdnmK90gg%3D%3D
Agel Vidian Krama, S.Pd., M.Si.;Teknik Geomatika;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJBoZa9qlmholbJ0g8FkYmdoaGZhZX6lgcCWZWxtmpNnmIB0fA%3D%3D
Dr. Nirmawana Simarmata, S.Pd., M.Sc.;Teknik Geomatika;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJBoZq9nZ5STmIWnrY9ilGhom5eSabJ1fcSUZ2dnm2SVabCmrw%3D%3D
Nurul Qamilah, S.Pd., M.Si.;Teknik Geomatika;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJBoZ6%2BZbGVqZ39xssJkZZiYmWmVZ4KjhcVmZWhrZmqTmIamhQ%3D%3D
Lea Kristi Agustina, S.T., M.Eng.;Teknik Geomatika;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJBoaK%2BVlpNpaYZ5gY9pZ2RrmmJmY7N3hJGWlZVkaJRnZH51gA%3D%3D
Satrio Muhammad Alif, S.T., M.T;Teknik Geomatika;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJBqZK9pbWJnl65xgcCSaWWVmGVqlK95hMCWlWhrmpdpYoV0rw%3D%3D
Zulfikar Adlan Nadzir, S.T., M.Sc.;Teknik Geomatika;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJFnZ69saZRoaoKlr8OUZpRplmphZX13gcNoZZaZamFkZoRzfQ%3D%3D
Dr.Ir. Bambang Edhi Leksono S., M.Sc.;Teknik Geomatika;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJRlY69omZeXmLOkrsKVlZZqa2mSarF6rY9oZ5SYa2Jjk35ygg%3D%3D
Agung Mahadi Putra Perdana, S.Si., M.Sc;Teknik Geomatika;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJViZa%2BVmpOXZq95gcBpaGNlZmZqYoBxrsJhaWOVl2FllYJxrg%3D%3D
Redho Surya Perdana, S.T., M.T;Teknik Geomatika;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJVnZK%2BXl5dmZX53r5KUZGpsbWNmmIR3g5RpY5iYaWhlloCisQ%3D%3D
Adam Irwansyah Fauzi, S.T., M.T;Teknik Geomatika;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJVnZa9pa5ZpZLJyf5dol2SYZmJpabClfpSVaWlmZmlpk4Z5hQ%3D%3D
Ratna Mustika Sari, S.T., M.T.;Teknik Geomatika;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJZmaK9llmFiaIKlfsRna2RlmmaTZrKjfJSWa2ZmmZaWY396rw%3D%3D
Rizqi Aulia, S.T., M.T.;Teknik Geomatika;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJZoa69tmZKWlIZ2fcJnl2qWmZaWZLNygpdjY5RpaJeXl6%2Bifg%3D%3D
Akbar Wahyu Nugraha, S.T., M.T.;Teknik Geomatika;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJdpa69plmZllYJ2fJhqaWhkbWOTa35yrpKXlpWalpZkk32jgg%3D%3D
Een Lujainatul Isnaini, S.T., M.Eng.;Teknik Geomatika;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJdqYq9lapViZn1yrZJoZmpmmpeSY4SlsMWTk5dkm5VolYVzgw%3D%3D
Muhammad Ulin Nuha, S.T., M.Eng.;Teknik Geomatika;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJdqY69rmGpmmIB3gJCTZpVlZZKTk4WkgZVpZWqZbJSUY350rg%3D%3D
Rizky Ahmad Yudanegara, S.T., M.T.;Teknik Geomatika;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJdqZK9lmGFnlq%2BjhZSXamdnl5RnloSmf5dmY2Vta2lkZ4Z0gQ%3D%3D
Aulia Try Atmojo, S.Kel., M.T.;Teknik Geomatika;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJdqZ69qmGVjaYZ6fsBnamZkmmWXYrB4f5FqlmiWbGOUZn6ksA%3D%3D
Ilyas, S.Si., M.T.;Teknik Geomatika;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJdqaK9pbWeWY353f5dmZpdsaJOUlLN2sY9lYmhnZ2pma4J0rQ%3D%3D
Tri Kies Welly, S.T., M.T.;Teknik Geomatika;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfY9hZ69nmmhmYn5zfZGVl5iYapZmaK52rsBolWuYbJNnlq%2Bkrg%3D%3D
Ongky Anggara, S.T., M.T.;Teknik Geomatika;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfY9haK9kmJWSZLJ3fcOVaWeVaGZkarOlscBoZ2OaaJJkZ3%2BngQ%3D%3D
Meraty Ramadhini, S.S.T., M.T.;Teknik Geomatika;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZJiaa9na2NiZ692hZZpmJWWmZRqZISkrpaXaWaVa5VnZn53fg%3D%3D
Muhammad Ario Eko Rahadianto, M.T.;Teknik Geomatika;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZJjaq%2BVmZNmlH6mssRhlGtsbpdhaYJ0r8KWamiZm5Zok4Z6gg%3D%3D
Misfallah Nurhayati, M.T.;Teknik Geomatika;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZJja69kmmWUZn92hZJnaplmmGGTZLF4hJCTZJVramNqZYJzgQ%3D%3D
Ayudia Hardiyani Kiranaratri, S.T., M.T.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJBjY69ta5RlZ4B4f8RilWlqlpVnZYBxfJhpZWpmbWRmloB2gw%3D%3D
Nugraha Bintang Wirawan, S.T., M.T.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJBnaq9maGFllK92sZaWk2ZtbJOSaa93r5ZnYpeZmGhmYn5yrw%3D%3D
Winny Novalina, S.T., M.T.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJBna69pl5KTZ655gpFmYmZlapSUl4FxsZiUk2Nqa2qTa7B0fA%3D%3D
Bernaditha Catur Marina, S.T., M.T.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJBoYq%2BXm2FpY7Byg5ZhmGVnlmqWl4Clr8NllGxkmmNmlLF0rg%3D%3D
Hermon Frederik Tambunan, S.T., M.T.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJBqa69pamJpaIGng5iVZZdrmWVpZbNyfpeWaGVpbpRlZIN5sg%3D%3D
Ahmad Yudi, S.T., M.T.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJFkaa9naJNiY32lsJhnZGNql5VolYVxrpGXamWVZ5OTaLF0rQ%3D%3D
Reza Asriandi Ekaputra, S.T., M.T.;Teknik Sipil;"#transportation modeling; #disaster management; #machine learning; #remote sensing";https://directory.itera.ac.id/researcher/id/gpKIfJFmZK%2BaZWdmYrCmhZdlk2qWZpaXk7F1hMWSlmuVlpKVloWjrw%3D%3D
Siti Rahma, S.T., M.T.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJJpZ69slmdjZ4Wlg8VlZWVkZWNhl4SksZJqYmpom2OVlX92sQ%3D%3D
Ir. Muhammad Abi Berkah Nadi, S.T., M.T., IPM.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJJpaa%2BXlmeWloR6fpKVYmmZbGFla7JxsZJjZmRkbJJkZYBxhQ%3D%3D
Dr. Eng. Rahmat Kurniawan, S.T., M.T.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJNiZ6%2BXa2JkabOjhJOSmGZmbJRplYCjsJRlmJhkaWJpk7GlgQ%3D%3D
Syahidus Syuhada, S.T., M.T.;Teknik Sipil;Soil Mechanics, Soil Improvement, Slope Stability, Foundation Engineering, Construction Material;https://directory.itera.ac.id/researcher/id/gpKIfJNiaK9obWNhYn6kfcVpmGtpa2ZmlK6mfMJpk2pnZpOWZ4B2gQ%3D%3D
Alfinna Mahya Ummati, S.T., M.T., M.Sc.;Teknik Sipil;Alfinna Mahya Ummati, Teknik Sipil, Civil Engineering, Struktur, National Central University, Institut Teknologi Sumatera, ITERA;https://directory.itera.ac.id/researcher/id/gpKIfJRhY6%2BabWVhk4angZCWY2uXaGVjmIN1fY9oY2Vna2hiY4WngA%3D%3D
Erdina Tyagita Utami, S.T., M.T.;Teknik Sipil;Slope stability, Retaining Walls, Soil Mechanics, Soil Improvement;https://directory.itera.ac.id/researcher/id/gpKIfJRhZK9lbWVpl6%2BmfJhiZ2lsmWhnmH6nhZZqamZtmJdpZ7B2gg%3D%3D
Mashuri, S.T., M.T.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJRhZa9qmpRoa6%2BigI%2BSk2xrmJVlk396sJFoZ5VlZWNnZrN5gw%3D%3D
Dr. Miskar Maini, S.T., M.Eng.;Teknik Sipil;Fluvial Hydraulic, Sediment Transport, Turbulence, River Engineering, Water Resources;https://directory.itera.ac.id/researcher/id/gpKIfJRhZq9nmmlmaoNysJOSmGiWm5RjZ4R0go9qaWOVZ2OXZoN1fg%3D%3D
Siska Apriwelni, S.T., M.T.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJRhaK9ta2KVarF1fJOXlZmWZ2RqYrN2f8RhZGtqmWGUlq%2BmgA%3D%3D
Junita Eka Susanti, S.T., M.Eng.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJRlaq%2BXZWZhY7N4ssSXZ2ZnbWFhYn5yfMFnZ2psa5Jhln6kfA%3D%3D
Dian Perwitasari, S.T., M.T;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJRqYq9pmJaSk4V2fsCUY2aWaGeWY4WmhJVqlWRnmWqSaIB2gg%3D%3D
Arif Rahman Hakim Sitepu, S.T., M.T.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJZiZq%2BaZ5NkloZ4sMOVlWiamWdqZYZ5rcSWZ5RomZWXZYZ1fQ%3D%3D
Kirtinanda P., S.T., M.T.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJZiZ69lmWeWl6%2BlrZZqk2RoaWqSk4CmssGXlZSZZpRoZISigA%3D%3D
Andry Yuliyanto, S.T., M.T., M.Sc.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJZia69pmGNpY4Omf8VkZ2Rna5Vkaa%2BiscBok2eaZmqVZoZzsA%3D%3D
Tera Melya Patrice Sihombing, S.T., M.T.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJZmZK%2BYbGNklK52fMBmk5aXmmOUa39zf5ViZJRtl2dhln91rg%3D%3D
Elian Zhafira, S.T., M.T.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJZmZq%2BabGVql355g5aXZWppbZaTl7B4hZaVk2lmaJOUk4Rxgg%3D%3D
Michael, S.T., M.Sc.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJdpaa9mmGpkaLFzhcOWmGVkbGJjmIaigsKVZGtnm5aUlYWmfg%3D%3D
Ayu Sinta Aprilia, S.T., M.Eng.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJhpaK9nZ2mXl4FxfcKWmGWVZ2FpZn53gsKUaWttmmRlZ7CnsA%3D%3D
Julita Hayati, S.T., M.T.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfY9oaa9tmGOXZoSlfsOUmGuam5WVmIFysMFkaZZpaWhik4Cjrw%3D%3D
M Gilang Indra Mardika, S.T., M.T.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfY9qZa9rbGmWZ4R0sJhqZ2tpbpaVan5yfJNjZGprZ2hil3%2BlhQ%3D%3D
Galih Rio Prayogi, S.T., M.Sc.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZFlYq9oapJnlYR3hMVlaphtmZSXlYB1fJBiY2qamZeWZ7GngQ%3D%3D
Indri Rahmandhani Fitriana, S.T., M.Eng.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZFlZa9nbZeWa7F6fcJjlpWVZ2NiYn6jgpJnZphpaGFjZ315rQ%3D%3D
Dr. Ir. Sri Hendarto, S.T., M.Sc.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZJlZq%2BXmGOXk395rcOSk2Vpl2OTZLKnssRpYmZmmJNhZYN6fA%3D%3D
Anggarani Budi Ribowo, M.T.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZJnZK%2BWaGVoZLF5fZGSlJmXaJeXaLJ4ssFnlmlmmWNkYq5yrQ%3D%3D
Ayu Kamila Khanza, M.T.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZJpY69saGeWlLOlfo%2BTY5llm2SSaoZzrcFhaWlna2SUaYR5sA%3D%3D
Cahyo Agung Saputra, S.Pd., M.T.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZJpaa%2BXbWqVZYV0fY%2BSamdlmWNpZoOlsJRpYmuabZJpZa%2BkhA%3D%3D
Putri Ayu Dwiyana, S.Pd., M.T.;Teknik Sipil;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZNkZq9kZ2NoZrF4sMJmaZRtZmlplICihZhoaGdtmWZlZIV6sQ%3D%3D
Hesti Ayuningtyas Pangastuti, S.T.P., M.Sc.;Teknologi Pangan;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJFlZK9qaJdoYq%2BigZhllGiaamiVYoF1scWWZWdsmZRqaYSkfQ%3D%3D
Lasuardi Permana, S.T.P., M.Sc.;Teknologi Pangan;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJFlZa9ll2KWa4R6fJBolGllZmNhln12fJhiaphomZKXlrB4rw%3D%3D
Amalia Wahyuningtyas, S.Si., M.Sc;Teknologi Pangan;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJVpZq9ll2eUaLF1gZRlZWdpaZaUa4R1sJJiaWyWZ5JoYq%2BjsA%3D%3D
Syahrizal Nasution, M.Si.;Teknologi Pangan;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJdmZ69ompSTlLJ3gpaSZ5iabmdnZbJ5fpeVaGyVZ5JkmLOlsg%3D%3D
Dina Fithriyani, S.TP., M.Si;Teknologi Pangan;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJdmaK9qa5RoYoJyg5RmaWNrZmdlZ35zhJJna5VqZ2OVlIOigw%3D%3D
Ilham Marvie, S.T.P., M.Si.;Teknologi Pangan;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJhlaq%2BaZZJmk7F1sphkaZZolpSXYoClhMRoZmuabGmSlq51fw%3D%3D
Zada Agna Talitha, S.T.P., M.Si.;Teknologi Pangan;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJhla6%2BamWJjYoamssNoYpdtlmmUY7B4sZZia5WZZ2qXlq55sg%3D%3D
Muhammad Rizky Ramanda, S.TP., M.TP.;Teknologi Pangan;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZBiY69rZ2NoY7CihJOVapmXlmVjl31xsY%2BSk5WZZWNhk3%2BmrQ%3D%3D
Masayu Nur Ulfa, S.Gz., M.Si.;Teknologi Pangan;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZFmZ69tmpNmk7CifphqmGtnaZdlZH6nr8KTZ2htmJJmY4Z4gg%3D%3D
Yosi Syafitri, S.Pt., M.Si.;Teknologi Pangan;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZFmaK9paGeXlLOjr8WUZWttm2JjlbFyfJOTaJVsbGpllIZ0hQ%3D%3D
Lita Lianti, M.Sc.;Teknologi Pangan;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZFpaa%2BYZmdiZIalfI%2BUZ2xqaZdhY4amrZVlaGhlaZZkZa56rw%3D%3D
Wafi Adizara Muzakki, S.T.P., M.Sc.;Teknologi Pangan;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZNmaK%2BamWlpln13fcCXl5dmm2JmmLN0f5KXYmVrbZSWY396rQ%3D%3D
Okti Ruenda, S.T.P., M.T.P.;Teknologi Pangan;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZNnZa9qlmSUk4KmrZdpZmyVaJdjY4R1fMSWamtpm2JnZ7B0sA%3D%3D
Afrida Nurwulan, M.Si;Teknologi Pangan;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZRoa6%2BYZ2mVmIR3fJRjZ5SWbZViZX53fphqZmiaZ5RplrJ0sQ%3D%3D
Hanifa Bagus, S.T.P., M.Sc.;Teknologi Pangan;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZRpYq9kaGppk3%2BjgZZiaJhmaWNoZ36mfcWWYmZqbWZlaH6lfA%3D%3D
Ahmad Luky Ramdani, S.Komp., M.Kom;Sains Data;Integrated Circuits, Image Sensor, Interactive System, Wearable Computing;https://directory.itera.ac.id/researcher/id/gpKIfI9pZa9ql2JkaH6khJhjZWiXmGhoZLN4gJZjamVplmNjYoWigA%3D%3D
M. Syamsuddin Wisnubroto, S.Si., M.Si.;Sains Data;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJNkZ69mbJZpZrGlgMNkZ2aZbpZilYByrsGXZWiabmZkaK6msQ%3D%3D
Tirta Setiawan, S.Pd., M.Si.;Sains Data;Bioinformatics, Data Science;https://directory.itera.ac.id/researcher/id/gpKIfJNkaa9tbZZjlbGmg8RqmGSYmJZlZbGnrsRoa2pkbJNmmH13fw%3D%3D
Febri Dwi Irawati, S.Si., M.Si;Sains Data;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJNmaK%2BZmpOTl4N6spWUamiXlmVnlIB3gJeTaJRta2FhZYKlrg%3D%3D
Vidia, S.Si., M.Si.;Sains Data;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJZjZq%2BXaZWXmIRxfZGTl2SaZWZiaoRzsJGTZGiVaGWWaK9yfQ%3D%3D
Ade Lailani, S.Si., M.Si.;Sains Data;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJZmaa%2BampOUlIFxscGVmGhoamNkZK%2BkfZSUlZhlmmWXZoF1rw%3D%3D
Ira Safitri, S.Si., M.Si., M.Sc.;Sains Data;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfJhjY6%2BamJVjY4airZVkY5WXapJnaH9yfcVhamSZmGNhlX13sQ%3D%3D
Ardika Satria, S.Si., M.Si.;Sains Data;Big Data;https://directory.itera.ac.id/researcher/id/gpKIfJhjZK9qa2hqabGlgJhlZJlkaWZhZn6nrZVkaGNkapVmmIF1fg%3D%3D
Mika Alvionita S, S.Si., M.Si.;Sains Data;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZFkYq9sZpdhlq54gcKTamiaZWZolq9zfZSSZWNmmGRnla6nfQ%3D%3D
Christyan Tamaro Nadeak, S.Si., M.Si.;Sains Data;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZFkY69laGeUZIR6gpFla2uZbZOUZn%2BngZWXmGtqmWJmZLCngQ%3D%3D
Luluk Muthoharoh, S.Si., M.Si.;Sains Data;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZFpZa9klpWWlIKkhJRqa5Rrm2ZlZYV6f5VkmJiaaWeWl4Z2fA%3D%3D
Fajri Farid, M.Sc.;Sains Data;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZJqaa%2BXm5aXk693g5hiYpdqmGKVarF6hZFmlGWaaZOXY6%2BmsA%3D%3D
Linda Rassiyanti, S.Si., M.Si.;Sains Data;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZNhaq9qamFqZ4Nzr5WSY5RtaGVpZrB1hJSXmGqVa5WUaX5xrg%3D%3D
Rohmi Dyah Astuti, S.Si., M.Cs.;Sains Data;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZNlZa9qZpVnarB2hZVqaGZsm2dlaK%2Bmf5iVZWuamJKWY66nhA%3D%3D
Yuliana, M.Cs.;Sains Data;<daftar kepakaran belum ditambahkan>;https://directory.itera.ac.id/researcher/id/gpKIfZNnY69omJdpZ4NxgMVql5aZZZdoZbFyhZdqlJdpbmFhloCnsg%3D%3D
