Nama Dosen;Program Studi;Kepakaran;URL Profil
Verlina Agustine, S.P.W.K., M.P.W.K.;Perencanaan Wilayah dan Kota;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJhqa69ml2ZnZoF2r8STY5dkaZNhY39xhcSTlWiYmmmSlIBxgQ%3D%3D
Fachri Muhammad Rasyid, S.P.W.K., M.URP.;Perencanaan Wilayah dan Kota;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfY9hZq%2BYmWhpaX2ngZBnlGdqlmVlmH96spiSaJhqaWZhZK%2BlhQ%3D%3D
Valendya Rilansari, S.P.W.K., M.P.W.K.;Perencanaan Wilayah dan Kota;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfY9iY69maZaSlYJxsJCVZmSVl5Nlk7KjgcOUamVmm2NmZH93fw%3D%3D
Dr. Eng. Ir. IB Ilham Malik, ST., MT.;Perencanaan Wilayah dan Kota;Transportation Planning, Strategic Regional Planning, City and Regional Infrastructure.;https://directory.itera.ac.id/researcher/id/gpKIfY9qaq%2BVZ5OXZa6kgMKTlWaWmpRqlbB3spFjZ2lrbmWTk7F6rQ%3D%3D
Muh. Abdi Danurja Rahman Aziz, S.T., M.R.K.;Perencanaan Wilayah dan Kota;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfZFiaq%2BVmGNiaoRygZdmaJdom2JoZ7GigJZplpmWbZJoZ7KihA%3D%3D
Ryansyah Izhar, S.T., M.P.W.K;Perencanaan Wilayah dan Kota;;https://directory.itera.ac.id/researcher/id/gpKIfZFia6%2BYlmphYn6ksZBjY2NlbWOUlK9xsMRkmGlka5ZnmK92fQ%3D%3D
Muhammad Abdul Mubdi Bindar, S.T., M.T.;Perencanaan Wilayah dan Kota;;https://directory.itera.ac.id/researcher/id/gpKIfZFjYq9naGFjZ4J0so9qlJeZaWZllINxfcKTY2VolpNll4GmrQ%3D%3D
Dian Prasetyaning Sukmawati, S.T., M.T.;Perencanaan Wilayah dan Kota;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfZJiZ6%2BZZmKXa4J2rpZkaGdnbGOVYoCmssWTZWZtlmWTY7N6fg%3D%3D
Dr. Asnani, S. Sos., M.A.;Perencanaan Wilayah dan Kota;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfZJqZq9mmGiXmH93gZFkl5lkmWaUmLCigMNlk5VkmWaVa4anfw%3D%3D
Jamaludin, S.T., M.Sc.;Perencanaan Wilayah dan Kota;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfZNhaK9rm5dqlbB5fpVnZWVsl5dlabN0f5aVmJSammmSZ4ajsA%3D%3D
Ir. Harkunti Pertiwi Rahayu, Ph.D.;Perencanaan Wilayah dan Kota;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfZNnaK9naZVjYrB3gsJkmGNpZ2mWmK%2BkfZJkaJdpbJeUk4NyfQ%3D%3D
Ibnu Syabri, B.Sc., M.Sc., Ph.D.;Perencanaan Wilayah dan Kota;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfZNnaa9mlmZilX50ssNhlGZtZ2eXaX90r5dlY5iXZ2STaLN2rw%3D%3D
Vivian Alvianti, S.P.W.K., M.P.W.K.;Perencanaan Wilayah dan Kota;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfZNoaK%2BYl2VqaLGifpBmlpaVlpZnY7GiscGSl2lkmWhlloWmfQ%3D%3D
Riyad Maulana, S.P.W.K., M.R.K;Perencanaan Wilayah dan Kota;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfZNoaa9tm5SVk7CkfI9oZ5doa2Fha7Omr5dpmGpol5JmaIJxrQ%3D%3D
Ir. Arif Rohman, S.T., M.T.;Teknik Geomatika;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfI9jZa%2BYZ2lqarOkrcNjlWxlaJNhZYWnhI%2BWZmZoa2lqaH94rQ%3D%3D
Agung Pandi Nugroho, S.T., M.T.;Teknik Geomatika;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfI9pZ69pa5SXZbOir5OXZ2NrbmOXaLF1hJNiZ2Rkm5Rnk4Nxfg%3D%3D
Tika Widayanti, S.Si., M.Si;Teknik Geomatika;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfI9paq9pa5eVZIOjf8STaJiWlpNnk66mf8GUk2VsaWdnmK90gg%3D%3D
Agel Vidian Krama, S.Pd., M.Si.;Teknik Geomatika;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJBoZa9qlmholbJ0g8FkYmdoaGZhZX6lgcCWZWxtmpNnmIB0fA%3D%3D
Dr. Nirmawana Simarmata, S.Pd., M.Sc.;Teknik Geomatika;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJBoZq9nZ5STmIWnrY9ilGhom5eSabJ1fcSUZ2dnm2SVabCmrw%3D%3D
Nurul Qamilah, S.Pd., M.Si.;Teknik Geomatika;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJBoZ6%2BZbGVqZ39xssJkZZiYmWmVZ4KjhcVmZWhrZmqTmIamhQ%3D%3D
Lea Kristi Agustina, S.T., M.Eng.;Teknik Geomatika;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJBoaK%2BVlpNpaYZ5gY9pZ2RrmmJmY7N3hJGWlZVkaJRnZH51gA%3D%3D
Satrio Muhammad Alif, S.T., M.T;Teknik Geomatika;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJBqZK9pbWJnl65xgcCSaWWVmGVqlK95hMCWlWhrmpdpYoV0rw%3D%3D
Zulfikar Adlan Nadzir, S.T., M.Sc.;Teknik Geomatika;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJFnZ69saZRoaoKlr8OUZpRplmphZX13gcNoZZaZamFkZoRzfQ%3D%3D
Dr.Ir. Bambang Edhi Leksono S., M.Sc.;Teknik Geomatika;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJRlY69omZeXmLOkrsKVlZZqa2mSarF6rY9oZ5SYa2Jjk35ygg%3D%3D
Agung Mahadi Putra Perdana, S.Si., M.Sc;Teknik Geomatika;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJViZa%2BVmpOXZq95gcBpaGNlZmZqYoBxrsJhaWOVl2FllYJxrg%3D%3D
